File_Name	Mol_Formula	Nonhydrogen_Atoms	Point_Group	[W1-F12 all-electron, rel. CCSD(T)/CBS (kcal/mol)]
dsgdb9nsd_000121	C5H8	5	C1	1294.181429
dsgdb9nsd_000122	C4H7N	5	C1	1205.231342
dsgdb9nsd_000123	C3H6N2	5	C1	1065.910428
dsgdb9nsd_000124	C4H6O	5	C1	1083.19758
dsgdb9nsd_000125	C3H5NO	5	C1	992.1757586
dsgdb9nsd_000126	C4H6O	5	C1	1096.967404
dsgdb9nsd_000127	C3H5NO	5	C1	1007.376122
dsgdb9nsd_000128	C4H8O	5	C1	1266.018702
dsgdb9nsd_000129	C3H7NO	5	C1	1153.491577
dsgdb9nsd_000130	C3H6O2	5	C1	1078.582392
dsgdb9nsd_000131	C3H6O2	5	C1	1057.258747
dsgdb9nsd_000132	C3H6O2	5	C1	1067.772518
dsgdb9nsd_000133	C5H12	5	C1	1596.707022
dsgdb9nsd_000134	C4H10O	5	C1	1399.599266
dsgdb9nsd_000135	C4H10O	5	C1	1390.384973
dsgdb9nsd_000136	C4H10O	5	C2	1393.635892
dsgdb9nsd_000137	C3H8O2	5	C1	1194.872735
dsgdb9nsd_000138	C3H8O2	5	C1	1201.728208
dsgdb9nsd_000139	C5H6	5	C1	1142.163104
dsgdb9nsd_000140	C4H5N	5	C1	1008.504936
dsgdb9nsd_000141	C4H4O	5	C1	938.0097159
dsgdb9nsd_000142	C4H5N	5	C1	1052.702451
dsgdb9nsd_000143	C3H4N2	5	C1	917.3314079
dsgdb9nsd_000144	C3H3NO	5	C1	845.7387549
dsgdb9nsd_000146	C3H5NO	5	C1	983.9541856
dsgdb9nsd_000147	C3H4O2	5	C1	912.3683851
dsgdb9nsd_000148	C3H5NO	5	C1	986.7929006
dsgdb9nsd_000149	C5H10	5	C1	1444.921453
dsgdb9nsd_000151	C4H9N	5	C1	1307.121773
dsgdb9nsd_000152	C4H8O	5	C1	1237.349173
dsgdb9nsd_000153	C4H8O	5	C1	1247.540888
dsgdb9nsd_000154	C3H7NO	5	C1	1114.552856
dsgdb9nsd_000155	C3H6O2	5	C1	1048.114829
dsgdb9nsd_000156	C5H8	5	CS	1321.985998
dsgdb9nsd_000157	C3H5NO	5	CS	1003.939598
dsgdb9nsd_000158	C4H6O	5	C2V	1117.245838
dsgdb9nsd_000160	C4H8O	5	C1	1262.44811
dsgdb9nsd_000161	C3H6O2	5	C1	1061.752173
dsgdb9nsd_000162	C5H8	5	C1	1292.798573
dsgdb9nsd_000163	C4H6O	5	C1	1086.644804
dsgdb9nsd_000164	C4H6O	5	C1	1092.437871
dsgdb9nsd_000165	C3H4N2	5	CS	939.9468566
dsgdb9nsd_000166	C2H3N3	5	C1	802.813064
dsgdb9nsd_000167	C2H3N3	5	CS	820.0815544
dsgdb9nsd_000168	C2H3N3	5	CS	813.8293823
dsgdb9nsd_000169	C2H3N3	5	CS	806.8227618
dsgdb9nsd_000170	C3H3NO	5	C1	850.4385438
dsgdb9nsd_000171	C2H2N2O	5	CS	716.3480907
dsgdb9nsd_000172	C2H2N2O	5	C1	731.7383134
dsgdb9nsd_000173	C2H2N2O	5	C2V	737.8258897
dsgdb9nsd_000174	CHN3O	5	C1	583.8022585
dsgdb9nsd_000175	C2H2N2O	5	C2V	705.6791114
dsgdb9nsd_000178	C4H5NO	6	C1	1104.096753
dsgdb9nsd_000179	C3H7NO2	6	C1	1213.248121
dsgdb9nsd_000180	C4H9NO	6	C1	1409.846565
dsgdb9nsd_000182	C3H6N2O	6	C1	1120.304376
dsgdb9nsd_000183	C3H5NO2	6	C1	1050.166679
dsgdb9nsd_000184	CF4	5	TD	478.0234339
dsgdb9nsd_000185	C3H4N2O	6	C1	1040.84313
dsgdb9nsd_000186	C3H3NO2	6	CS	965.0202285
dsgdb9nsd_000187	C3H4N2O	6	C1	1066.379843
dsgdb9nsd_000188	C3H3NO2	6	C1	990.7945035
dsgdb9nsd_000189	C3H2O3	6	C2V	914.7186968
dsgdb9nsd_000190	C5H7N	6	C1	1370.236339
dsgdb9nsd_000191	C5H6O	6	C1	1294.27157
dsgdb9nsd_000192	C4H5NO	6	C1	1173.695394
dsgdb9nsd_000193	C4H5NO	6	C1	1174.957284
dsgdb9nsd_000194	C4H6N2	6	C1	1242.453536
dsgdb9nsd_000195	C4H5NO	6	C1	1166.820864
dsgdb9nsd_000196	C3H4N2O	6	C1	1045.382245
dsgdb9nsd_000197	C3H4N2O	6	C1	1050.995217
dsgdb9nsd_000198	C4H5NO	6	C1	1172.869177
dsgdb9nsd_000199	C3H4N2O	6	C1	1049.935724
dsgdb9nsd_000200	C3H4N2O	6	C1	1057.992576
dsgdb9nsd_000201	C5H7N	6	C1	1368.911334
dsgdb9nsd_000202	C4H6N2	6	CS	1249.212699
dsgdb9nsd_000203	C5H6O	6	C1	1291.697464
dsgdb9nsd_000204	C4H5NO	6	C1	1172.906571
dsgdb9nsd_000205	C4H6N2	6	C1	1239.81063
dsgdb9nsd_000206	C3H5N3	6	C1	1122.543599
dsgdb9nsd_000207	C4H5NO	6	C1	1162.60326
dsgdb9nsd_000208	C3H4N2O	6	C1	1045.831316
dsgdb9nsd_000209	C4H5NO	6	C1	1170.313369
dsgdb9nsd_000210	C3H4N2O	6	C1	1055.120816
dsgdb9nsd_000211	C3H3NO2	6	C1	977.2200863
dsgdb9nsd_000213	C4H6N2	6	C1	1241.639311
dsgdb9nsd_000214	C6H6	6	D6H	1368.987978
dsgdb9nsd_000215	C5H5N	6	C2V	1238.898927
dsgdb9nsd_000216	C4H4N2	6	D2H	1106.591756
dsgdb9nsd_000217	C4H4N2	6	C2V	1111.17922
dsgdb9nsd_000218	C3H3N3	6	D3H	985.6597439
dsgdb9nsd_000219	C6H10	6	C1	1591.674533
dsgdb9nsd_000220	C5H9N	6	C1	1502.734029
dsgdb9nsd_000221	C4H8N2	6	C1	1374.793332
dsgdb9nsd_000222	C5H8O	6	C1	1394.228343
dsgdb9nsd_000223	C4H7NO	6	C1	1303.731521
dsgdb9nsd_000224	C5H10O	6	C1	1564.782206
dsgdb9nsd_000225	C4H8O2	6	C1	1369.524844
dsgdb9nsd_000226	C5H12O	6	C1	1698.244591
dsgdb9nsd_000227	C4H10O2	6	C1	1504.652413
dsgdb9nsd_000228	C6H14	6	C1	1894.144422
dsgdb9nsd_000229	C5H12O	6	C1	1701.374966
dsgdb9nsd_000230	C5H12O	6	C1	1689.933673
dsgdb9nsd_000231	C5H6O	6	C1	1266.738989
dsgdb9nsd_000232	C4H5NO	6	C1	1154.8521
dsgdb9nsd_000233	C6H10	6	C1	1594.084183
dsgdb9nsd_000234	C5H8O	6	C1	1397.076176
dsgdb9nsd_000235	C5H6O	6	C1	1263.790798
dsgdb9nsd_000236	C4H5NO	6	C1	1171.912633
dsgdb9nsd_000237	C4H5NO	6	C1	1154.527746
dsgdb9nsd_000238	C3H4N2O	6	C1	1063.707186
dsgdb9nsd_000239	C3H6N2O	6	C1	1191.50144
dsgdb9nsd_000240	C3H5NO2	6	C1	1117.531267
dsgdb9nsd_000241	C4H6O2	6	C1	1235.89642
dsgdb9nsd_000242	C3H6N2O	6	C1	1185.073898
dsgdb9nsd_000243	C3H5NO2	6	C1	1128.267967
dsgdb9nsd_000244	C3H5NO2	6	C1	1119.782633
dsgdb9nsd_000245	C2H5N3O	6	C1	1072.124039
dsgdb9nsd_000246	C3H5NO2	6	C1	1125.563225
dsgdb9nsd_000247	C2H5N3O	6	C1	1068.89406
dsgdb9nsd_000248	C2H4N2O2	6	C1	1012.434075
dsgdb9nsd_000249	C2H4N2O2	6	C1	1005.694014
dsgdb9nsd_000250	C6H10	6	C1	1590.671033
dsgdb9nsd_000251	C5H9N	6	C1	1501.856551
dsgdb9nsd_000252	C5H8O	6	C1	1395.722682
dsgdb9nsd_000253	C4H7NO	6	C1	1305.324598
dsgdb9nsd_000254	C4H8N2	6	C1	1357.021692
dsgdb9nsd_000255	C5H10O	6	C1	1562.302276
dsgdb9nsd_000256	C4H9NO	6	C1	1450.721304
dsgdb9nsd_000257	C4H8O2	6	C1	1377.017929
dsgdb9nsd_000258	C4H8O2	6	C1	1366.499087
dsgdb9nsd_000259	C4H9NO	6	C1	1420.014139
dsgdb9nsd_000260	C4H8O2	6	C1	1371.38947
dsgdb9nsd_000261	C5H10O	6	C1	1568.472232
dsgdb9nsd_000262	C4H9NO	6	C1	1457.294008
dsgdb9nsd_000263	C4H9NO	6	C1	1454.003561
dsgdb9nsd_000264	C3H8N2O	6	C1	1336.757478
dsgdb9nsd_000265	C4H8O2	6	C1	1384.965418
dsgdb9nsd_000266	C3H7NO2	6	C1	1269.613453
dsgdb9nsd_000267	C3H7NO2	6	C1	1256.28308
dsgdb9nsd_000268	C4H8O2	6	C1	1357.140881
dsgdb9nsd_000269	C3H7NO2	6	C1	1244.984533
dsgdb9nsd_000270	C3H7NO2	6	C1	1260.341893
dsgdb9nsd_000271	C3H7NO2	6	C1	1216.022014
dsgdb9nsd_000272	C5H12O	6	C1	1695.143301
dsgdb9nsd_000273	C4H10O2	6	C1	1500.910493
dsgdb9nsd_000274	C6H14	6	C1	1892.413889
dsgdb9nsd_000275	C5H12O	6	C1	1697.955127
dsgdb9nsd_000276	C5H12O	6	C1	1690.859921
dsgdb9nsd_000277	C5H12O	6	C1	1686.767116
dsgdb9nsd_000278	C4H10O2	6	C1	1492.728152
dsgdb9nsd_000279	C4H6O2	6	C2	1240.586137
dsgdb9nsd_000280	C3H6N2O	6	C1	1187.580899
dsgdb9nsd_000281	C3H5NO2	6	C1	1132.25163
dsgdb9nsd_000282	C2H4N2O2	6	C1	1006.043825
dsgdb9nsd_000283	C2H4N2O2	6	C2	1024.728925
dsgdb9nsd_000284	C5H10O	6	C1	1569.042086
dsgdb9nsd_000285	C4H9NO	6	C1	1458.510517
dsgdb9nsd_000286	C3H7NO2	6	C1	1265.113915
dsgdb9nsd_000287	C4H8O2	6	C1	1376.150679
dsgdb9nsd_000288	C3H7NO2	6	C1	1264.820504
dsgdb9nsd_000289	C4H9NO	6	C1	1445.215391
dsgdb9nsd_000290	C3H8N2O	6	C1	1328.666903
dsgdb9nsd_000291	C6H14	6	C2	1892.647831
dsgdb9nsd_000292	C5H12O	6	C1	1698.702315
dsgdb9nsd_000293	C4H10O2	6	C1	1505.244638
dsgdb9nsd_000294	C6H12	6	CS	1744.493447
dsgdb9nsd_000295	C5H10O	6	C1	1547.181073
dsgdb9nsd_000296	C5H10O	6	CS	1541.929377
dsgdb9nsd_000297	C5H10O	6	C1	1551.645928
dsgdb9nsd_000298	C4H8O2	6	C1	1347.623602
dsgdb9nsd_000299	C5H10O	6	C1	1545.756225
dsgdb9nsd_000300	C4H8O2	6	C1	1349.55527
dsgdb9nsd_000301	C6H12	6	C1	1742.661132
dsgdb9nsd_000302	C5H10O	6	C1	1546.967688
dsgdb9nsd_000303	C5H10O	6	C1	1547.930307
dsgdb9nsd_000304	C5H11N	6	C1	1604.406293
dsgdb9nsd_000306	C5H8O	6	CS	1419.423954
dsgdb9nsd_000307	C4H7NO	6	C1	1307.27501
dsgdb9nsd_000308	C4H6O2	6	C1	1241.275576
dsgdb9nsd_000309	C4H7NO	6	CS	1277.961111
dsgdb9nsd_000310	C4H6O2	6	C1	1223.098182
dsgdb9nsd_000311	C6H12	6	C2V	1744.171353
dsgdb9nsd_000312	C5H10O	6	CS	1547.596766
dsgdb9nsd_000313	C5H10O	6	C1	1549.249645
dsgdb9nsd_000314	C4H9NO	6	CS	1409.601341
dsgdb9nsd_000315	C4H8O2	6	C2	1353.601772
dsgdb9nsd_000316	C6H10	6	C1	1581.054105
dsgdb9nsd_000317	C5H8O	6	CS	1375.613914
dsgdb9nsd_000318	C5H9N	6	C1	1437.494176
dsgdb9nsd_000319	C5H8O	6	C1	1387.625086
dsgdb9nsd_000320	C4H7NO	6	C1	1245.535192
dsgdb9nsd_000321	C5H2O	6	C2	950.0358413
dsgdb9nsd_000322	C4HNO	6	C1	853.7512292
dsgdb9nsd_000323	C3N2O	6	C2V	754.1222299
dsgdb9nsd_000324	C4H2O2	6	C1	918.6653299
dsgdb9nsd_000325	C3HNO2	6	CS	821.3128284
dsgdb9nsd_000326	C3H2O3	6	C1	882.5948038
dsgdb9nsd_000327	C6H6	6	CS	1283.054719
dsgdb9nsd_000328	C5H5N	6	C1	1192.46613
dsgdb9nsd_000329	C4H4N2	6	CS	1099.599166
dsgdb9nsd_000330	C4H4N2	6	C1	1060.778015
dsgdb9nsd_000331	C3H3N3	6	C1	966.9173215
dsgdb9nsd_000332	C5H4O	6	CS	1082.729502
dsgdb9nsd_000333	C4H3NO	6	C1	990.4180983
dsgdb9nsd_000334	C3H2N2O	6	CS	895.4801529
dsgdb9nsd_000335	C5H6O	6	C1	1257.422788
dsgdb9nsd_000336	C4H5NO	6	C1	1166.081533
dsgdb9nsd_000337	C4H4O2	6	C1	1059.895806
dsgdb9nsd_000338	C3H3NO2	6	C1	966.9560012
dsgdb9nsd_000339	C4H6O2	6	C1	1227.883318
dsgdb9nsd_000340	C3H6N2O	6	C1	1184.76399
dsgdb9nsd_000341	C3H5NO2	6	C1	1126.358324
dsgdb9nsd_000342	C3H4O3	6	C1	1031.100901
dsgdb9nsd_000343	C3H5N3	6	C1	1104.730569
dsgdb9nsd_000344	C3H6N2O	6	C1	1175.873592
dsgdb9nsd_000345	C5H6O	6	C1	1260.995181
dsgdb9nsd_000346	C4H5NO	6	C1	1166.580509
dsgdb9nsd_000347	C3H5N3	6	C1	1107.078145
dsgdb9nsd_000348	C4H5NO	6	C1	1143.836327
dsgdb9nsd_000349	C4H4O2	6	C1	1071.173294
dsgdb9nsd_000350	C3H3NO2	6	C1	975.6865974
dsgdb9nsd_000351	C4H4O2	6	C1	1058.789883
dsgdb9nsd_000352	C3H3NO2	6	C1	963.7354468
dsgdb9nsd_000354	C3H6N2O	6	C1	1172.003685
dsgdb9nsd_000355	C3H5NO2	6	C1	1112.439247
dsgdb9nsd_000356	C3H4O3	6	C1	1041.307839
dsgdb9nsd_000357	C3H4O3	6	C1	1024.841927
dsgdb9nsd_000358	C5H10O	6	C2	1568.976191
dsgdb9nsd_000359	C4H8O2	6	C1	1366.857408
dsgdb9nsd_000360	C4H9NO	6	C1	1452.012643
dsgdb9nsd_000361	C4H8O2	6	C1	1382.433273
dsgdb9nsd_000362	C3H7NO2	6	C1	1255.474911
dsgdb9nsd_000363	C3H8N2O	6	C1	1328.826366
dsgdb9nsd_000364	C3H7NO2	6	C1	1260.874498
dsgdb9nsd_000365	C3H7NO2	6	C1	1253.174586
dsgdb9nsd_000366	C3H6O3	6	C1	1185.161116
dsgdb9nsd_000367	C3H6O3	6	C2	1164.115514
dsgdb9nsd_000369	C5H8O	6	C1	1392.827679
dsgdb9nsd_000370	C4H7NO	6	C1	1303.306251
dsgdb9nsd_000371	C6H10	6	C1	1589.383848
dsgdb9nsd_000372	C5H9N	6	C1	1500.459294
dsgdb9nsd_000373	C4H8N2	6	C1	1371.409205
dsgdb9nsd_000374	C5H8O	6	C1	1392.312676
dsgdb9nsd_000376	C4H8N2	6	C1	1362.250164
dsgdb9nsd_000377	C5H8O	6	C1	1380.351981
dsgdb9nsd_000378	C4H7NO	6	C1	1292.531706
dsgdb9nsd_000379	C3H6N2O	6	C1	1172.945282
dsgdb9nsd_000380	C3H7N3	6	C1	1241.859912
dsgdb9nsd_000381	C3H6N2O	6	C1	1172.568249
dsgdb9nsd_000382	C4H6O2	6	C1	1196.554254
dsgdb9nsd_000383	C3H5NO2	6	C1	1104.293
dsgdb9nsd_000384	C4H8O2	6	C1	1365.266019
dsgdb9nsd_000385	C5H10O	6	C1	1561.468667
dsgdb9nsd_000386	C4H8O2	6	C1	1368.742051
dsgdb9nsd_000387	C4H9NO	6	C1	1443.446172
dsgdb9nsd_000388	C4H8O2	6	C1	1355.162551
dsgdb9nsd_000389	C3H6O3	6	C1	1171.86456
dsgdb9nsd_000390	C4H10O2	6	C1	1498.070899
dsgdb9nsd_000391	C6H14	6	C1	1891.793879
dsgdb9nsd_000392	C5H12O	6	C1	1695.417441
dsgdb9nsd_000393	C5H12O	6	C1	1687.91854
dsgdb9nsd_000394	C5H12O	6	C1	1697.930278
dsgdb9nsd_000395	C4H10O2	6	C1	1502.427892
dsgdb9nsd_000397	C3H8O3	6	CS	1305.359306
dsgdb9nsd_000398	C6H8	6	C1	1439.175048
dsgdb9nsd_000399	C5H7N	6	C1	1349.820694
dsgdb9nsd_000400	C5H7N	6	C1	1305.336094
dsgdb9nsd_000401	C4H6N2	6	C1	1214.855167
dsgdb9nsd_000402	C5H6O	6	C1	1237.52546
dsgdb9nsd_000403	C4H5NO	6	C1	1145.794816
dsgdb9nsd_000404	C4H6N2	6	C1	1221.332615
dsgdb9nsd_000405	C5H6O	6	C1	1240.449089
dsgdb9nsd_000406	C4H5NO	6	C1	1149.520973
dsgdb9nsd_000407	C5H8O	6	C1	1415.147753
dsgdb9nsd_000408	C4H7NO	6	C1	1281.77497
dsgdb9nsd_000409	C4H6O2	6	C1	1212.820141
dsgdb9nsd_000410	C4H6O2	6	C1	1218.529272
dsgdb9nsd_000411	C5H10O	6	C1	1545.131269
dsgdb9nsd_000412	C4H9NO	6	C1	1416.057064
dsgdb9nsd_000413	C4H8O2	6	C1	1347.814
dsgdb9nsd_000414	C6H12	6	C1	1742.049266
dsgdb9nsd_000415	C5H10O	6	C1	1544.138035
dsgdb9nsd_000416	C5H10O	6	C1	1546.174673
dsgdb9nsd_000417	C5H10O	6	C1	1535.613155
dsgdb9nsd_000418	C4H8O2	6	C1	1350.061118
dsgdb9nsd_000419	C5H8O	6	C1	1419.802367
dsgdb9nsd_000420	C4H7NO	6	C1	1305.755088
dsgdb9nsd_000421	C4H7NO	6	C1	1291.165681
dsgdb9nsd_000422	C4H6O2	6	C1	1238.178459
dsgdb9nsd_000423	C4H7NO	6	C1	1285.687805
dsgdb9nsd_000424	C4H6O2	6	C1	1216.33014
dsgdb9nsd_000425	C4H7NO	6	C1	1301.86554
dsgdb9nsd_000426	C3H6N2O	6	C1	1162.262039
dsgdb9nsd_000427	C3H5NO2	6	C1	1108.717877
dsgdb9nsd_000428	C4H6O2	6	C1	1222.416631
dsgdb9nsd_000429	C3H5NO2	6	C1	1107.2499
dsgdb9nsd_000430	C3H5NO2	6	C1	1092.5638
dsgdb9nsd_000431	C3H4O3	6	C1	1038.326949
dsgdb9nsd_000432	C6H12	6	C1	1742.972728
dsgdb9nsd_000433	C5H10O	6	C1	1548.36059
dsgdb9nsd_000434	C5H10O	6	C1	1543.548646
dsgdb9nsd_000435	C4H8O2	6	C1	1347.118193
dsgdb9nsd_000436	C4H8O2	6	C1	1354.650936
dsgdb9nsd_000437	C3H5N3	6	C1	1112.690891
dsgdb9nsd_000438	C5H6O	6	CS	1293.845824
dsgdb9nsd_000439	C4H5NO	6	C1	1180.37906
dsgdb9nsd_000440	C3H4N2O	6	CS	1058.972074
dsgdb9nsd_000441	C3H3NO2	6	CS	987.3668459
dsgdb9nsd_000442	C4H5NO	6	CS	1165.135374
dsgdb9nsd_000443	C5H6O	6	C1	1298.037613
dsgdb9nsd_000444	C4H5NO	6	C1	1181.201958
dsgdb9nsd_000445	C4H7NO	6	C1	1307.417901
dsgdb9nsd_000446	C3H5NO2	6	C1	1103.996006
dsgdb9nsd_000447	C3H5NO2	6	C1	1109.484198
dsgdb9nsd_000448	C5H8O	6	C1	1438.335597
dsgdb9nsd_000449	C4H7NO	6	C1	1324.113481
dsgdb9nsd_000450	C4H6O2	6	C1	1252.633184
dsgdb9nsd_000451	C4H6O2	6	C1	1232.169396
dsgdb9nsd_000452	C3H4O3	6	C1	1048.348796
dsgdb9nsd_000453	C3H6N2O	6	C2	1202.271028
dsgdb9nsd_000454	C3H5NO2	6	C1	1131.083565
dsgdb9nsd_000455	C3H4O3	6	C2	1058.731136
dsgdb9nsd_000456	C6H10	6	C1	1620.45355
dsgdb9nsd_000457	C5H8O	6	C1	1415.788829
dsgdb9nsd_000458	C4H7NO	6	C1	1305.794345
dsgdb9nsd_000459	C6H10	6	CS	1618.071336
dsgdb9nsd_000460	C4H7NO	6	C1	1303.003905
dsgdb9nsd_000461	C5H8O	6	CS	1423.342933
dsgdb9nsd_000462	C6H10	6	C1	1618.18403
dsgdb9nsd_000463	C4H7NO	6	C1	1301.829019
dsgdb9nsd_000464	C5H8O	6	C1	1416.055866
dsgdb9nsd_000465	C5H8O	6	C1	1423.051624
dsgdb9nsd_000466	C6H12	6	C1	1761.47861
dsgdb9nsd_000467	C5H10O	6	C1	1561.325608
dsgdb9nsd_000468	C5H10O	6	C1	1558.671738
dsgdb9nsd_000469	C4H8O2	6	C1	1360.634722
dsgdb9nsd_000470	C4H8O2	6	C1	1363.067909
dsgdb9nsd_000471	C5H10O	6	C1	1566.636873
dsgdb9nsd_000472	C4H8O2	6	C1	1362.980372
dsgdb9nsd_000473	C6H12	6	C1	1739.714542
dsgdb9nsd_000474	C5H10O	6	C1	1543.303867
dsgdb9nsd_000475	C5H11N	6	C1	1600.602494
dsgdb9nsd_000476	C4H8O2	6	C1	1345.702795
dsgdb9nsd_000477	C3H6O3	6	C1	1151.224975
dsgdb9nsd_000478	C6H10	6	C1	1590.906983
dsgdb9nsd_000479	C5H8O	6	C1	1387.263483
dsgdb9nsd_000480	C5H8O	6	C1	1384.523658
dsgdb9nsd_000481	C5H8O	6	C1	1393.003714
dsgdb9nsd_000482	C5H8O	6	C1	1394.034951
dsgdb9nsd_000483	C4H6O2	6	C1	1186.299914
dsgdb9nsd_000485	C5HN	6	C*V	893.4202086
dsgdb9nsd_000486	C4N2	6	D*H	794.4085845
dsgdb9nsd_000487	C6H6	6	C1	1285.634034
