File_Name	Mol_Formula	Nonhydrogen_Atoms	Point_Group	[W1-F12 all-electron, nonrel. CCSD(T)/CBS (kcal/mol)]
dsgdb9nsd_000072	C4H8O	5	C1	1274.858842
dsgdb9nsd_000073	C3H7NO	5	C1	1163.722844
dsgdb9nsd_000075	C2H6N2O	5	C1	1041.746756
dsgdb9nsd_000076	C3H7NO	5	C1	1142.312138
dsgdb9nsd_000077	C3H6O2	5	C1	1088.498781
dsgdb9nsd_000078	C2H5NO2	5	C1	973.24578
dsgdb9nsd_000079	C2H5NO2	5	C1	967.886397
dsgdb9nsd_000080	C2H5NO2	5	C1	968.9937128
dsgdb9nsd_000081	C4H10O	5	C1	1402.340642
dsgdb9nsd_000082	C3H8O2	5	C1	1208.991875
dsgdb9nsd_000083	C5H12	5	C1	1598.651573
dsgdb9nsd_000084	C4H10O	5	C1	1404.62359
dsgdb9nsd_000085	C4H10O	5	C1	1394.15569
dsgdb9nsd_000086	C5H10	5	C2V	1448.361398
dsgdb9nsd_000087	C4H8O	5	C1	1250.617052
dsgdb9nsd_000088	C4H8O	5	C1	1252.22999
dsgdb9nsd_000089	C3H5NO	5	CS	995.3021176
dsgdb9nsd_000090	C4H6O	5	CS	1123.774089
dsgdb9nsd_000091	C3H5NO	5	C1	1010.091462
dsgdb9nsd_000092	C3H4O2	5	CS	942.5452479
dsgdb9nsd_000093	C3H5NO	5	CS	987.9337756
dsgdb9nsd_000094	C3H4O2	5	CS	917.5737081
dsgdb9nsd_000095	C5H10	5	CS	1448.090922
dsgdb9nsd_000096	C4H8O	5	C1	1248.578851
dsgdb9nsd_000097	C4H8O	5	CS	1245.283585
dsgdb9nsd_000098	C4H8O	5	CS	1253.803244
dsgdb9nsd_000100	C5H10	5	C1	1446.132597
dsgdb9nsd_000101	C4H8O	5	C1	1249.208651
dsgdb9nsd_000102	C4H9N	5	C1	1306.564155
dsgdb9nsd_000103	C4H8O	5	C1	1249.451422
dsgdb9nsd_000104	C3H6O2	5	C1	1051.795129
dsgdb9nsd_000106	C4H6O	5	C2V	1074.807722
dsgdb9nsd_000107	C5H4	5	C2V	988.0907659
dsgdb9nsd_000108	C4H3N	5	CS	897.2332575
dsgdb9nsd_000109	C3H2N2	5	C1	803.923555
dsgdb9nsd_000110	C4H4O	5	C1	962.3664971
dsgdb9nsd_000111	C3H3NO	5	C1	870.8343219
dsgdb9nsd_000112	C2H4N2O	5	C1	885.5401451
dsgdb9nsd_000113	C2H3NO2	5	C1	814.016104
dsgdb9nsd_000114	C2H3NO2	5	C1	828.0356703
dsgdb9nsd_000115	C5H4	5	C3V	998.2230175
dsgdb9nsd_000116	C4H3N	5	C1	904.4376376
dsgdb9nsd_000117	C4H4O	5	C1	965.1850878
dsgdb9nsd_000118	C4H6O	5	CS	1098.26345
dsgdb9nsd_000119	C5H8	5	C1	1299.127528
dsgdb9nsd_000120	C3H7NO	5	C1	1124.961023
dsgdb9nsd_000121	C5H8	5	C1	1295.038876
dsgdb9nsd_000122	C4H7N	5	C1	1206.03756
dsgdb9nsd_000123	C3H6N2	5	C1	1066.791602
dsgdb9nsd_000124	C4H6O	5	C1	1084.117616
dsgdb9nsd_000125	C3H5NO	5	C1	993.0436921
dsgdb9nsd_000126	C4H6O	5	C1	1097.897994
dsgdb9nsd_000127	C3H5NO	5	C1	1008.255533
dsgdb9nsd_000128	C4H8O	5	C1	1266.932375
dsgdb9nsd_000129	C3H7NO	5	C1	1154.526667
dsgdb9nsd_000130	C3H6O2	5	C1	1079.559443
dsgdb9nsd_000131	C3H6O2	5	C1	1058.247025
dsgdb9nsd_000132	C3H6O2	5	C1	1068.755769
dsgdb9nsd_000133	C5H12	5	C1	1597.673411
dsgdb9nsd_000134	C4H10O	5	C1	1400.637938
dsgdb9nsd_000135	C4H10O	5	C1	1391.421054
dsgdb9nsd_000136	C4H10O	5	C2	1394.664713
dsgdb9nsd_000137	C3H8O2	5	C1	1195.983942
dsgdb9nsd_000138	C3H8O2	5	C1	1202.839019
dsgdb9nsd_000139	C5H6	5	C1	1143.022083
dsgdb9nsd_000140	C4H5N	5	C1	1009.374941
dsgdb9nsd_000141	C4H4O	5	C1	938.8386811
dsgdb9nsd_000142	C4H5N	5	C1	1053.510821
dsgdb9nsd_000143	C3H4N2	5	C1	918.1493038
dsgdb9nsd_000144	C3H3NO	5	C1	846.5116835
dsgdb9nsd_000146	C3H5NO	5	C1	984.8845626
dsgdb9nsd_000147	C3H4O2	5	C1	913.2505065
dsgdb9nsd_000148	C3H5NO	5	C1	987.7643292
dsgdb9nsd_000149	C5H10	5	C1	1445.887517
dsgdb9nsd_000151	C4H9N	5	C1	1308.10882
dsgdb9nsd_000152	C4H8O	5	C1	1238.384859
dsgdb9nsd_000153	C4H8O	5	C1	1248.575952
dsgdb9nsd_000154	C3H7NO	5	C1	1115.602792
dsgdb9nsd_000155	C3H6O2	5	C1	1049.124342
dsgdb9nsd_000156	C5H8	5	CS	1322.883324
dsgdb9nsd_000157	C3H5NO	5	CS	1004.894642
dsgdb9nsd_000158	C4H6O	5	C2V	1118.20899
dsgdb9nsd_000160	C4H8O	5	C1	1263.456869
dsgdb9nsd_000161	C3H6O2	5	C1	1062.818325
dsgdb9nsd_000162	C5H8	5	C1	1293.747556
dsgdb9nsd_000163	C4H6O	5	C1	1087.627647
dsgdb9nsd_000164	C4H6O	5	C1	1093.355943
dsgdb9nsd_000165	C3H4N2	5	CS	940.9008153
dsgdb9nsd_000166	C2H3N3	5	C1	803.7251616
dsgdb9nsd_000167	C2H3N3	5	CS	821.0428864
dsgdb9nsd_000168	C2H3N3	5	CS	814.7673458
dsgdb9nsd_000169	C2H3N3	5	CS	807.7666742
dsgdb9nsd_000170	C3H3NO	5	C1	851.2610205
dsgdb9nsd_000171	C2H2N2O	5	CS	717.0990313
dsgdb9nsd_000172	C2H2N2O	5	C1	732.5591146
dsgdb9nsd_000173	C2H2N2O	5	C2V	738.6951786
dsgdb9nsd_000174	CHN3O	5	C1	584.4989698
dsgdb9nsd_000175	C2H2N2O	5	C2V	706.4099278
dsgdb9nsd_000178	C4H5NO	6	C1	1105.112007
dsgdb9nsd_000179	C3H7NO2	6	C1	1214.465759
dsgdb9nsd_000180	C4H9NO	6	C1	1410.966701
dsgdb9nsd_000182	C3H6N2O	6	C1	1121.469523
dsgdb9nsd_000183	C3H5NO2	6	C1	1051.309832
dsgdb9nsd_000184	CF4	5	TD	478.8678044
dsgdb9nsd_000185	C3H4N2O	6	C1	1042.096988
dsgdb9nsd_000186	C3H3NO2	6	CS	966.2102062
dsgdb9nsd_000187	C3H4N2O	6	C1	1067.68104
dsgdb9nsd_000188	C3H3NO2	6	C1	992.0330755
dsgdb9nsd_000189	C3H2O3	6	C2V	915.8885188
dsgdb9nsd_000190	C5H7N	6	C1	1371.393937
dsgdb9nsd_000191	C5H6O	6	C1	1295.380242
dsgdb9nsd_000192	C4H5NO	6	C1	1174.811941
dsgdb9nsd_000193	C4H5NO	6	C1	1176.073097
dsgdb9nsd_000194	C4H6N2	6	C1	1243.698283
dsgdb9nsd_000195	C4H5NO	6	C1	1168.03598
dsgdb9nsd_000196	C3H4N2O	6	C1	1046.608367
dsgdb9nsd_000197	C3H4N2O	6	C1	1052.233181
dsgdb9nsd_000198	C4H5NO	6	C1	1174.125633
dsgdb9nsd_000199	C3H4N2O	6	C1	1051.210748
dsgdb9nsd_000200	C3H4N2O	6	C1	1059.273887
dsgdb9nsd_000201	C5H7N	6	C1	1370.070878
dsgdb9nsd_000202	C4H6N2	6	CS	1250.386336
dsgdb9nsd_000203	C5H6O	6	C1	1292.808921
dsgdb9nsd_000204	C4H5NO	6	C1	1174.02291
dsgdb9nsd_000205	C4H6N2	6	C1	1241.067813
dsgdb9nsd_000206	C3H5N3	6	C1	1123.822464
dsgdb9nsd_000207	C4H5NO	6	C1	1163.815596
dsgdb9nsd_000208	C3H4N2O	6	C1	1047.058436
dsgdb9nsd_000209	C4H5NO	6	C1	1171.568733
dsgdb9nsd_000210	C3H4N2O	6	C1	1056.397164
dsgdb9nsd_000211	C3H3NO2	6	C1	978.440793
dsgdb9nsd_000213	C4H6N2	6	C1	1242.812685
dsgdb9nsd_000214	C6H6	6	D6H	1369.97923
dsgdb9nsd_000215	C5H5N	6	C2V	1239.916214
dsgdb9nsd_000216	C4H4N2	6	D2H	1107.630271
dsgdb9nsd_000217	C4H4N2	6	C2V	1112.215973
dsgdb9nsd_000218	C3H3N3	6	D3H	986.7092536
dsgdb9nsd_000219	C6H10	6	C1	1592.710263
dsgdb9nsd_000220	C5H9N	6	C1	1503.720091
dsgdb9nsd_000221	C4H8N2	6	C1	1375.842622
dsgdb9nsd_000222	C5H8O	6	C1	1395.322186
dsgdb9nsd_000223	C4H7NO	6	C1	1304.775496
dsgdb9nsd_000224	C5H10O	6	C1	1565.880304
dsgdb9nsd_000225	C4H8O2	6	C1	1370.689426
dsgdb9nsd_000226	C5H12O	6	C1	1699.467601
dsgdb9nsd_000227	C4H10O2	6	C1	1505.942755
dsgdb9nsd_000228	C6H14	6	C1	1895.292746
dsgdb9nsd_000229	C5H12O	6	C1	1702.586662
dsgdb9nsd_000230	C5H12O	6	C1	1691.14584
dsgdb9nsd_000231	C5H6O	6	C1	1267.740513
dsgdb9nsd_000232	C4H5NO	6	C1	1155.978316
dsgdb9nsd_000233	C6H10	6	C1	1595.138675
dsgdb9nsd_000234	C5H8O	6	C1	1398.191291
dsgdb9nsd_000235	C5H6O	6	C1	1264.787422
dsgdb9nsd_000236	C4H5NO	6	C1	1172.852429
dsgdb9nsd_000237	C4H5NO	6	C1	1155.649984
dsgdb9nsd_000238	C3H4N2O	6	C1	1064.775037
dsgdb9nsd_000239	C3H6N2O	6	C1	1192.690496
dsgdb9nsd_000240	C3H5NO2	6	C1	1118.670617
dsgdb9nsd_000241	C4H6O2	6	C1	1236.945145
dsgdb9nsd_000242	C3H6N2O	6	C1	1186.254928
dsgdb9nsd_000243	C3H5NO2	6	C1	1129.429475
dsgdb9nsd_000244	C3H5NO2	6	C1	1120.921902
dsgdb9nsd_000245	C2H5N3O	6	C1	1073.435817
dsgdb9nsd_000246	C3H5NO2	6	C1	1126.737729
dsgdb9nsd_000247	C2H5N3O	6	C1	1070.188543
dsgdb9nsd_000248	C2H4N2O2	6	C1	1013.712211
dsgdb9nsd_000249	C2H4N2O2	6	C1	1006.974679
dsgdb9nsd_000250	C6H10	6	C1	1591.715585
dsgdb9nsd_000251	C5H9N	6	C1	1502.849968
dsgdb9nsd_000252	C5H8O	6	C1	1396.835143
dsgdb9nsd_000253	C4H7NO	6	C1	1306.386564
dsgdb9nsd_000254	C4H8N2	6	C1	1358.092142
dsgdb9nsd_000255	C5H10O	6	C1	1563.403467
dsgdb9nsd_000256	C4H9NO	6	C1	1451.941879
dsgdb9nsd_000257	C4H8O2	6	C1	1378.179857
dsgdb9nsd_000258	C4H8O2	6	C1	1367.666462
dsgdb9nsd_000259	C4H9NO	6	C1	1421.196706
dsgdb9nsd_000260	C4H8O2	6	C1	1372.570857
dsgdb9nsd_000261	C5H10O	6	C1	1569.579918
dsgdb9nsd_000262	C4H9NO	6	C1	1458.523211
dsgdb9nsd_000263	C4H9NO	6	C1	1455.233009
dsgdb9nsd_000264	C3H8N2O	6	C1	1338.091142
dsgdb9nsd_000265	C4H8O2	6	C1	1386.139902
dsgdb9nsd_000266	C3H7NO2	6	C1	1270.923762
dsgdb9nsd_000267	C3H7NO2	6	C1	1257.547455
dsgdb9nsd_000268	C4H8O2	6	C1	1358.315937
dsgdb9nsd_000269	C3H7NO2	6	C1	1246.278677
dsgdb9nsd_000270	C3H7NO2	6	C1	1261.646096
dsgdb9nsd_000271	C3H7NO2	6	C1	1217.257744
dsgdb9nsd_000272	C5H12O	6	C1	1696.369135
dsgdb9nsd_000273	C4H10O2	6	C1	1502.201556
dsgdb9nsd_000274	C6H14	6	C1	1893.568061
dsgdb9nsd_000275	C5H12O	6	C1	1699.173268
dsgdb9nsd_000276	C5H12O	6	C1	1692.073914
dsgdb9nsd_000277	C5H12O	6	C1	1687.992165
dsgdb9nsd_000278	C4H10O2	6	C1	1494.026092
dsgdb9nsd_000279	C4H6O2	6	C2	1241.630376
dsgdb9nsd_000280	C3H6N2O	6	C1	1188.763579
dsgdb9nsd_000281	C3H5NO2	6	C1	1133.427243
dsgdb9nsd_000282	C2H4N2O2	6	C1	1007.358935
dsgdb9nsd_000283	C2H4N2O2	6	C2	1026.036937
dsgdb9nsd_000284	C5H10O	6	C1	1570.146835
dsgdb9nsd_000285	C4H9NO	6	C1	1459.73608
dsgdb9nsd_000286	C3H7NO2	6	C1	1266.37199
dsgdb9nsd_000287	C4H8O2	6	C1	1377.3296
dsgdb9nsd_000288	C3H7NO2	6	C1	1266.123929
dsgdb9nsd_000289	C4H9NO	6	C1	1446.456222
dsgdb9nsd_000290	C3H8N2O	6	C1	1330.02063
dsgdb9nsd_000291	C6H14	6	C2	1893.799299
dsgdb9nsd_000292	C5H12O	6	C1	1699.924183
dsgdb9nsd_000293	C4H10O2	6	C1	1506.529137
dsgdb9nsd_000294	C6H12	6	CS	1745.628348
dsgdb9nsd_000295	C5H10O	6	C1	1548.348102
dsgdb9nsd_000296	C5H10O	6	CS	1543.10533
dsgdb9nsd_000297	C5H10O	6	C1	1552.844584
dsgdb9nsd_000298	C4H8O2	6	C1	1348.861521
dsgdb9nsd_000299	C5H10O	6	C1	1546.986708
dsgdb9nsd_000300	C4H8O2	6	C1	1350.854366
dsgdb9nsd_000301	C6H12	6	C1	1743.816433
dsgdb9nsd_000302	C5H10O	6	C1	1548.190491
dsgdb9nsd_000303	C5H10O	6	C1	1549.057282
dsgdb9nsd_000304	C5H11N	6	C1	1605.588452
dsgdb9nsd_000306	C5H8O	6	CS	1420.504808
dsgdb9nsd_000307	C4H7NO	6	C1	1308.461349
dsgdb9nsd_000308	C4H6O2	6	C1	1242.382345
dsgdb9nsd_000309	C4H7NO	6	CS	1279.107226
dsgdb9nsd_000310	C4H6O2	6	C1	1224.249718
dsgdb9nsd_000311	C6H12	6	C2V	1745.308902
dsgdb9nsd_000312	C5H10O	6	CS	1548.762403
dsgdb9nsd_000313	C5H10O	6	C1	1550.456221
dsgdb9nsd_000314	C4H9NO	6	CS	1410.872336
dsgdb9nsd_000315	C4H8O2	6	C2	1354.878
dsgdb9nsd_000316	C6H10	6	C1	1582.159676
dsgdb9nsd_000317	C5H8O	6	CS	1376.703866
dsgdb9nsd_000318	C5H9N	6	C1	1438.580865
dsgdb9nsd_000319	C5H8O	6	C1	1388.804433
dsgdb9nsd_000320	C4H7NO	6	C1	1246.685988
dsgdb9nsd_000321	C5H2O	6	C2	950.918308
dsgdb9nsd_000322	C4HNO	6	C1	854.570857
dsgdb9nsd_000323	C3N2O	6	C2V	754.8725116
dsgdb9nsd_000324	C4H2O2	6	C1	919.5869343
dsgdb9nsd_000325	C3HNO2	6	CS	822.1652812
dsgdb9nsd_000326	C3H2O3	6	C1	883.562072
dsgdb9nsd_000327	C6H6	6	CS	1283.994785
dsgdb9nsd_000328	C5H5N	6	C1	1193.353892
dsgdb9nsd_000329	C4H4N2	6	CS	1100.429405
dsgdb9nsd_000330	C4H4N2	6	C1	1061.730236
dsgdb9nsd_000331	C3H3N3	6	C1	967.8136436
dsgdb9nsd_000332	C5H4O	6	CS	1083.727487
dsgdb9nsd_000333	C4H3NO	6	C1	991.3628138
dsgdb9nsd_000334	C3H2N2O	6	CS	896.3660394
dsgdb9nsd_000335	C5H6O	6	C1	1258.413814
dsgdb9nsd_000336	C4H5NO	6	C1	1167.017388
dsgdb9nsd_000337	C4H4O2	6	C1	1060.959227
dsgdb9nsd_000338	C3H3NO2	6	C1	967.9619743
dsgdb9nsd_000339	C4H6O2	6	C1	1228.930907
dsgdb9nsd_000340	C3H6N2O	6	C1	1185.957501
dsgdb9nsd_000341	C3H5NO2	6	C1	1127.533687
dsgdb9nsd_000342	C3H4O3	6	C1	1032.224068
dsgdb9nsd_000343	C3H5N3	6	C1	1105.804978
dsgdb9nsd_000344	C3H6N2O	6	C1	1177.06298
dsgdb9nsd_000345	C5H6O	6	C1	1261.988641
dsgdb9nsd_000346	C4H5NO	6	C1	1167.510667
dsgdb9nsd_000347	C3H5N3	6	C1	1108.159256
dsgdb9nsd_000348	C4H5NO	6	C1	1144.959481
dsgdb9nsd_000349	C4H4O2	6	C1	1072.238516
dsgdb9nsd_000350	C3H3NO2	6	C1	976.6886234
dsgdb9nsd_000351	C4H4O2	6	C1	1059.853493
dsgdb9nsd_000352	C3H3NO2	6	C1	964.7368892
dsgdb9nsd_000354	C3H6N2O	6	C1	1173.190387
dsgdb9nsd_000355	C3H5NO2	6	C1	1113.60927
dsgdb9nsd_000356	C3H4O3	6	C1	1042.419541
dsgdb9nsd_000357	C3H4O3	6	C1	1025.954131
dsgdb9nsd_000358	C5H10O	6	C2	1570.08724
dsgdb9nsd_000359	C4H8O2	6	C1	1368.038167
dsgdb9nsd_000360	C4H9NO	6	C1	1453.250927
dsgdb9nsd_000361	C4H8O2	6	C1	1383.615325
dsgdb9nsd_000362	C3H7NO2	6	C1	1256.787184
dsgdb9nsd_000363	C3H8N2O	6	C1	1330.176478
dsgdb9nsd_000364	C3H7NO2	6	C1	1262.204523
dsgdb9nsd_000365	C3H7NO2	6	C1	1254.42857
dsgdb9nsd_000366	C3H6O3	6	C1	1186.425366
dsgdb9nsd_000367	C3H6O3	6	C2	1165.366988
dsgdb9nsd_000369	C5H8O	6	C1	1393.946805
dsgdb9nsd_000370	C4H7NO	6	C1	1304.37559
dsgdb9nsd_000371	C6H10	6	C1	1590.429128
dsgdb9nsd_000372	C5H9N	6	C1	1501.454487
dsgdb9nsd_000373	C4H8N2	6	C1	1372.470455
dsgdb9nsd_000374	C5H8O	6	C1	1393.419289
dsgdb9nsd_000376	C4H8N2	6	C1	1363.321448
dsgdb9nsd_000377	C5H8O	6	C1	1381.457295
dsgdb9nsd_000378	C4H7NO	6	C1	1293.582427
dsgdb9nsd_000379	C3H6N2O	6	C1	1174.081846
dsgdb9nsd_000380	C3H7N3	6	C1	1242.994004
dsgdb9nsd_000381	C3H6N2O	6	C1	1173.696147
dsgdb9nsd_000382	C4H6O2	6	C1	1197.733237
dsgdb9nsd_000383	C3H5NO2	6	C1	1105.418144
dsgdb9nsd_000384	C4H8O2	6	C1	1366.448058
dsgdb9nsd_000385	C5H10O	6	C1	1562.573147
dsgdb9nsd_000386	C4H8O2	6	C1	1369.921486
dsgdb9nsd_000387	C4H9NO	6	C1	1444.678977
dsgdb9nsd_000388	C4H8O2	6	C1	1356.337387
dsgdb9nsd_000389	C3H6O3	6	C1	1173.118041
dsgdb9nsd_000390	C4H10O2	6	C1	1499.373766
dsgdb9nsd_000391	C6H14	6	C1	1892.950052
dsgdb9nsd_000392	C5H12O	6	C1	1696.647065
dsgdb9nsd_000393	C5H12O	6	C1	1689.14074
dsgdb9nsd_000394	C5H12O	6	C1	1699.149792
dsgdb9nsd_000395	C4H10O2	6	C1	1503.720342
dsgdb9nsd_000397	C3H8O3	6	CS	1306.721842
dsgdb9nsd_000398	C6H8	6	C1	1440.221344
dsgdb9nsd_000399	C5H7N	6	C1	1350.817248
dsgdb9nsd_000400	C5H7N	6	C1	1306.393805
dsgdb9nsd_000401	C4H6N2	6	C1	1215.86237
dsgdb9nsd_000402	C5H6O	6	C1	1238.541253
dsgdb9nsd_000403	C4H5NO	6	C1	1146.755621
dsgdb9nsd_000404	C4H6N2	6	C1	1222.40201
dsgdb9nsd_000405	C5H6O	6	C1	1241.56433
dsgdb9nsd_000406	C4H5NO	6	C1	1150.585725
dsgdb9nsd_000407	C5H8O	6	C1	1416.253368
dsgdb9nsd_000408	C4H7NO	6	C1	1282.893838
dsgdb9nsd_000409	C4H6O2	6	C1	1213.893157
dsgdb9nsd_000410	C4H6O2	6	C1	1219.714462
dsgdb9nsd_000411	C5H10O	6	C1	1546.356852
dsgdb9nsd_000412	C4H9NO	6	C1	1417.296709
dsgdb9nsd_000413	C4H8O2	6	C1	1349.012744
dsgdb9nsd_000414	C6H12	6	C1	1743.204216
dsgdb9nsd_000415	C5H10O	6	C1	1545.268198
dsgdb9nsd_000416	C5H10O	6	C1	1547.398731
dsgdb9nsd_000417	C5H10O	6	C1	1536.836347
dsgdb9nsd_000418	C4H8O2	6	C1	1351.361632
dsgdb9nsd_000419	C5H8O	6	C1	1420.884783
dsgdb9nsd_000420	C4H7NO	6	C1	1306.947055
dsgdb9nsd_000421	C4H7NO	6	C1	1292.297934
dsgdb9nsd_000422	C4H6O2	6	C1	1239.289885
dsgdb9nsd_000423	C4H7NO	6	C1	1286.824934
dsgdb9nsd_000424	C4H6O2	6	C1	1217.441685
dsgdb9nsd_000425	C4H7NO	6	C1	1303.064233
dsgdb9nsd_000426	C3H6N2O	6	C1	1163.464435
dsgdb9nsd_000427	C3H5NO2	6	C1	1109.900469
dsgdb9nsd_000428	C4H6O2	6	C1	1223.572861
dsgdb9nsd_000429	C3H5NO2	6	C1	1108.513008
dsgdb9nsd_000430	C3H5NO2	6	C1	1093.76715
dsgdb9nsd_000431	C3H4O3	6	C1	1039.507188
dsgdb9nsd_000432	C6H12	6	C1	1744.113766
dsgdb9nsd_000433	C5H10O	6	C1	1549.572411
dsgdb9nsd_000434	C5H10O	6	C1	1544.723677
dsgdb9nsd_000435	C4H8O2	6	C1	1348.36373
dsgdb9nsd_000436	C4H8O2	6	C1	1355.92709
dsgdb9nsd_000437	C3H5N3	6	C1	1113.868362
dsgdb9nsd_000438	C5H6O	6	CS	1294.888745
dsgdb9nsd_000439	C4H5NO	6	C1	1181.547232
dsgdb9nsd_000440	C3H4N2O	6	CS	1060.141526
dsgdb9nsd_000441	C3H3NO2	6	CS	988.46094
dsgdb9nsd_000442	C4H5NO	6	CS	1166.24498
dsgdb9nsd_000443	C5H6O	6	C1	1299.080013
dsgdb9nsd_000444	C4H5NO	6	C1	1182.36974
dsgdb9nsd_000445	C4H7NO	6	C1	1308.586041
dsgdb9nsd_000446	C3H5NO2	6	C1	1105.219819
dsgdb9nsd_000447	C3H5NO2	6	C1	1110.721258
dsgdb9nsd_000448	C5H8O	6	C1	1439.435935
dsgdb9nsd_000449	C4H7NO	6	C1	1325.334564
dsgdb9nsd_000450	C4H6O2	6	C1	1253.789602
dsgdb9nsd_000451	C4H6O2	6	C1	1233.323807
dsgdb9nsd_000452	C3H4O3	6	C1	1049.56031
dsgdb9nsd_000453	C3H6N2O	6	C2	1203.593687
dsgdb9nsd_000454	C3H5NO2	6	C1	1132.359731
dsgdb9nsd_000455	C3H4O3	6	C2	1059.952031
dsgdb9nsd_000456	C6H10	6	C1	1621.545586
dsgdb9nsd_000457	C5H8O	6	C1	1416.948649
dsgdb9nsd_000458	C4H7NO	6	C1	1306.94799
dsgdb9nsd_000459	C6H10	6	CS	1619.157454
dsgdb9nsd_000460	C4H7NO	6	C1	1304.143299
dsgdb9nsd_000461	C5H8O	6	CS	1424.491463
dsgdb9nsd_000462	C6H10	6	C1	1619.268975
dsgdb9nsd_000463	C4H7NO	6	C1	1302.970258
dsgdb9nsd_000464	C5H8O	6	C1	1417.201215
dsgdb9nsd_000465	C5H8O	6	C1	1424.195963
dsgdb9nsd_000466	C6H12	6	C1	1762.624186
dsgdb9nsd_000467	C5H10O	6	C1	1562.527251
dsgdb9nsd_000468	C5H10O	6	C1	1559.880296
dsgdb9nsd_000469	C4H8O2	6	C1	1361.888813
dsgdb9nsd_000470	C4H8O2	6	C1	1364.31575
dsgdb9nsd_000471	C5H10O	6	C1	1567.844528
dsgdb9nsd_000472	C4H8O2	6	C1	1364.25249
dsgdb9nsd_000473	C6H12	6	C1	1740.880015
dsgdb9nsd_000474	C5H10O	6	C1	1544.543945
dsgdb9nsd_000475	C5H11N	6	C1	1601.796494
dsgdb9nsd_000476	C4H8O2	6	C1	1347.01535
dsgdb9nsd_000477	C3H6O3	6	C1	1152.619854
dsgdb9nsd_000478	C6H10	6	C1	1592.046069
dsgdb9nsd_000479	C5H8O	6	C1	1388.43419
dsgdb9nsd_000480	C5H8O	6	C1	1385.697709
dsgdb9nsd_000481	C5H8O	6	C1	1394.111633
dsgdb9nsd_000482	C5H8O	6	C1	1395.248096
dsgdb9nsd_000483	C4H6O2	6	C1	1187.547064
dsgdb9nsd_000485	C5HN	6	C*V	894.2278761
dsgdb9nsd_000486	C4N2	6	D*H	795.156237
dsgdb9nsd_000487	C6H6	6	C1	1286.57474
