			TAEe used for			TAEe used for
			evaluating 			evaluating DFT 
			CCSD(T) composite		and DHDFT 	
			methods (a)			methods (b)
honc			349.450				350.110
hnco			434.000				434.680
hcno			364.180				364.910
c-n2h2			290.850				291.080
hnnn			331.350				331.720
hnc			297.950				298.180
t-hono			311.870				312.610
c-hono			311.440				312.170
nh2cl			246.920				248.040
t-hooo			232.380				233.270
c-hooo			232.180				233.070
ch3f			422.190				422.960
ch2f2			436.630				437.935
cf4			476.360				478.740
sih3f			381.000				382.740
sif4			573.960				577.760
c2h3f			572.950				573.870
c2h5f			720.530				721.480
fccf			384.500				386.060
hccf			397.530				398.450
hcof			402.620				403.720
f2co			418.950				420.610
ch2-sing		181.180				181.440
propane			1007.200			1007.890
propene			860.920				861.550
propyne			704.990				705.570
allene			703.480				704.070
b2h6			606.830				607.020
bhf2			409.750				410.960
bf3			469.150				470.960
c2h6			712.670				713.040
h2cn			343.450				343.710
nccn			501.350				501.960
ch2nh2			481.870				482.240
ch3nh			474.240				474.600
ch3nh2			581.910				582.260
cf2			257.630				258.770
n2h			224.580				224.820
t-n2h2			296.250				296.490
n2h4			437.940				438.240
fo2			133.710				134.690
foof			151.000				152.340
alf3			428.320				430.960
si2h6			533.720				535.880
p4			289.870				290.570
so2			258.800				260.580
so3			343.910				346.890
ocs			334.370				335.730
cs2			278.970				280.760
s2o			206.770				208.750
s3			166.130				168.350
s4-c2v			231.440				234.330
ccl2			175.330				177.320
alcl3			308.650				312.640
clcn			284.120				285.420
oclo			125.990				128.090
cloo			124.960				126.340
cl2o			99.310				101.430
bn3pi			105.720				105.810
cf			132.210				132.710
ch2c			359.630				359.920
ch2ch			445.680				446.080
c2h4			563.710				564.100
ch2nh			439.100				439.450
hco			278.710				279.430
h2co			374.040				374.650
co2			389.180				390.140
hno			205.340				205.900
no2			227.010				227.870
n2o			270.210				270.850
o3			146.480				147.430
hoo			174.820				175.540
hooh			268.390				269.080
f2o			92.680				93.780
hocl			164.910				166.230
ssh			163.510				165.140
b2			67.350				67.470
bh			84.840				84.980
bh3			281.170				281.280
bn			105.050				105.240
bf			181.950				182.530
nh			82.980				83.090
nh2			182.430				182.580
hcn			313.190				313.420
hof			157.900				158.660
alh			73.220				73.580
alh3			212.520				213.170
alf			162.900				163.790
alcl			121.320				122.620
sih			73.540				73.930
sih4			323.850				324.950
sio			192.140				193.040
sif			141.840				142.720
cs			171.420				172.210
h2			109.510				109.500
oh			107.050				107.200
hf			141.120				141.640
h2o			232.580				232.980
ch			84.030				84.220
ch2-trip		190.530				190.740
ch3			307.630				307.870
ch4			420.200				420.440
cch			265.730				266.170
c2h2			405.160				405.540
nh3			297.860				298.010
c2			146.710				147.030
n2			228.360				228.480
co			259.260				259.730
cn			181.130				181.360
no			152.510				152.750
o2			120.210				120.820
of			52.670				53.070
f2			38.250				39.050
ph3			241.800				242.270
hs			87.490				87.730
h2s			182.980				183.910
hcl			106.440				107.490
so			125.340				126.470
clo			64.590				65.440
clf			61.400				62.800
p2			117.330				117.610
s2			102.810				104.250
cl2			57.870				59.750

(a) Zero-point exclusive, all-electron, relativistic, DBOC-inclusive FCI/CBS total atomization energies.

(b) Zero-point exclusive, nonrelativistic, clamped-nuclei FCI/CBS total atomization energies.

(c) In the accepted version of the manuscript this value was 556.204 kcal/mol due to an error in the scalar relativistic component. The incorrect scalar relativistic value was calculated at the CCSD(T)/AVTZ-DK level of theory. Using the correct CCSD(T)/AVQZ-DK scalar relativistic value results in a TAEe value of 557.142 kcal/mol. 



