"Table S3. Molecular formulas, point group symmetry, and common organic functional groups for the molecules in the GDB9-W1-F12 database. ",,,,Carbonyls,Hydroxyl,Ester (cyclic or acyclic),Nitrogens w/o hydrogens,,,Carbons w/o hydrogens,,,,,
dsgdb9nsd_000039,C4H10,4,CI,0,0,0,0,0,0,0,0,2,2,0,
dsgdb9nsd_000040,C3H8O,4,C1,0,1,0,0,0,0,0,0,2,1,0,
dsgdb9nsd_000041,C3H8O,4,C1,0,0,1,0,0,0,0,0,1,2,0,
dsgdb9nsd_000042,C2H6O2,4,C1,0,2,0,0,0,0,0,0,2,0,0,
dsgdb9nsd_000043,C4H8,4,C1,0,0,0,0,0,0,0,1,2,1,0,
dsgdb9nsd_000044,C3H6O,4,C1,0,0,1,0,0,0,0,1,1,1,0,
dsgdb9nsd_000045,C3H7N,4,CS,0,0,0,1,0,0,0,0,2,1,0,
dsgdb9nsd_000046,C3H6O,4,C1,0,1,0,0,0,0,0,1,2,0,0,
dsgdb9nsd_000047,C4H8,4,D2D,0,0,0,0,0,0,0,0,4,0,0,
dsgdb9nsd_000048,C3H6O,4,C2V,0,0,1,0,0,0,0,0,3,0,0,
dsgdb9nsd_000049,C3H7NO,5,C1,0,0,0,1,0,0,1,0,0,2,0,
dsgdb9nsd_000050,C4H5N,5,CS,0,0,0,0,1,0,0,4,0,0,0,
dsgdb9nsd_000051,C3H4N2,5,C1,0,0,0,1,1,0,0,3,0,0,0,
dsgdb9nsd_000053,C3H3NO,5,CS,0,0,1,1,0,0,0,3,0,0,0,
dsgdb9nsd_000054,C5H12,5,C1,0,0,0,0,0,0,1,0,0,4,0,
dsgdb9nsd_000055,C4H10O,5,C1,0,1,0,0,0,0,1,0,0,3,0,
dsgdb9nsd_000056,C4H4O,5,C1,1,0,0,0,0,0,2,1,0,1,0,
dsgdb9nsd_000057,C3H3NO,5,C1,1,0,0,1,0,0,2,0,0,1,0,
dsgdb9nsd_000058,C2H3N3,5,C1,0,0,0,1,1,1,2,0,0,0,0,
dsgdb9nsd_000060,C3H4O2,5,C1,2,0,0,0,0,0,1,1,0,1,0,
dsgdb9nsd_000061,C2H4N2O,5,C1,1,0,0,0,1,1,1,1,0,0,0,
dsgdb9nsd_000062,C2H3NO2,5,C1,2,0,0,0,0,1,1,1,0,0,0,
dsgdb9nsd_000063,C5H8,5,C1,0,0,0,0,0,0,1,2,0,2,0,
dsgdb9nsd_000064,C4H7N,5,C1,0,0,0,1,0,0,1,1,0,2,0,
dsgdb9nsd_000065,C3H6N2,5,C1,0,0,0,1,0,1,1,1,0,1,0,
dsgdb9nsd_000066,C4H6O,5,C1,0,1,0,0,0,0,1,2,0,1,0,
dsgdb9nsd_000067,C3H5NO,5,C1,0,1,0,1,0,0,1,1,0,1,0,
dsgdb9nsd_000068,C4H8O,5,C1,1,0,0,0,0,0,0,2,0,2,0,
dsgdb9nsd_000069,C3H6O2,5,C1,1,1,0,0,0,0,0,2,0,1,0,
dsgdb9nsd_000070,C3H7NO,5,C1,1,0,0,1,0,0,0,1,0,2,0,
dsgdb9nsd_000071,C3H6O2,5,C1,1,1,0,0,0,0,1,0,1,1,0,
dsgdb9nsd_000072,C4H8O,5,C1,1,0,0,0,0,0,1,0,1,2,0,
dsgdb9nsd_000073,C3H7NO,5,C1,1,0,0,0,0,1,1,0,1,1,0,
dsgdb9nsd_000075,C2H6N2O,5,C1,1,0,0,0,1,1,1,0,0,1,0,
dsgdb9nsd_000076,C3H7NO,5,C1,0,0,1,0,1,0,1,0,0,2,0,
dsgdb9nsd_000077,C3H6O2,5,C1,1,0,1,0,0,0,1,0,0,2,0,
dsgdb9nsd_000078,C2H5NO2,5,C1,1,0,1,0,0,1,1,0,0,1,0,
dsgdb9nsd_000079,C2H5NO2,5,C1,1,1,0,0,0,1,1,0,1,0,0,
dsgdb9nsd_000080,C2H5NO2,5,C1,1,1,0,0,0,1,1,0,1,0,0,
dsgdb9nsd_000081,C4H10O,5,C1,0,1,0,0,0,0,0,1,1,2,0,
dsgdb9nsd_000082,C3H8O2,5,C1,0,2,0,0,0,0,0,1,1,1,0,
dsgdb9nsd_000083,C5H12,5,C1,0,0,0,0,0,0,0,1,1,3,0,
dsgdb9nsd_000084,C4H10O,5,C1,0,1,0,0,0,0,0,1,1,2,0,
dsgdb9nsd_000085,C4H10O,5,C1,0,0,1,0,0,0,0,1,0,3,0,
dsgdb9nsd_000086,C5H10,5,C2V,0,0,0,0,0,0,1,0,2,2,0,
dsgdb9nsd_000087,C4H8O,5,C1,0,0,1,0,0,0,1,0,1,2,0,
dsgdb9nsd_000088,C4H8O,5,C1,0,1,0,0,0,0,1,0,2,1,0,
dsgdb9nsd_000089,C3H5NO,5,CS,0,0,1,0,1,0,1,0,2,0,0,
dsgdb9nsd_000090,C4H6O,5,CS,1,0,0,0,0,0,1,0,3,0,0,
dsgdb9nsd_000091,C3H5NO,5,C1,1,0,0,0,1,0,1,0,2,0,0,
dsgdb9nsd_000092,C3H4O2,5,CS,1,0,1,0,0,0,1,0,2,0,0,
dsgdb9nsd_000093,C3H5NO,5,CS,1,0,0,0,1,0,1,0,2,0,0,
dsgdb9nsd_000094,C3H4O2,5,CS,1,0,1,0,0,0,1,0,2,0,0,
dsgdb9nsd_000095,C5H10,5,CS,0,0,0,0,0,0,0,1,3,1,0,
dsgdb9nsd_000096,C4H8O,5,C1,0,0,1,0,0,0,0,1,2,1,0,
dsgdb9nsd_000097,C4H8O,5,CS,0,0,1,0,0,0,0,1,2,1,0,
dsgdb9nsd_000098,C4H8O,5,CS,0,1,0,0,0,0,0,1,3,0,0,
dsgdb9nsd_000100,C5H10,5,C1,0,0,0,0,0,0,0,2,1,2,0,
dsgdb9nsd_000101,C4H8O,5,C1,0,1,0,0,0,0,0,2,1,1,0,
dsgdb9nsd_000102,C4H9N,5,C1,0,0,0,1,0,0,0,1,1,2,0,
dsgdb9nsd_000103,C4H8O,5,C1,0,0,1,0,0,0,0,2,0,2,0,
dsgdb9nsd_000104,C3H6O2,5,C1,0,2,0,0,0,0,0,2,1,0,0,
dsgdb9nsd_000106,C4H6O,5,C2V,0,0,1,0,0,0,0,2,2,0,0,
dsgdb9nsd_000107,C5H4,5,C2V,0,0,0,0,0,0,2,2,1,0,0,
dsgdb9nsd_000108,C4H3N,5,CS,0,0,0,1,0,0,2,1,1,0,0,
dsgdb9nsd_000109,C3H2N2,5,C1,0,0,0,2,0,0,2,0,1,0,0,
dsgdb9nsd_000110,C4H4O,5,C1,1,0,0,0,0,0,1,2,1,0,0,
dsgdb9nsd_000111,C3H3NO,5,C1,1,0,0,1,0,0,1,1,1,0,0,
dsgdb9nsd_000112,C2H4N2O,5,C1,1,0,0,0,2,0,0,2,0,0,0,
dsgdb9nsd_000113,C2H3NO2,5,C1,1,0,1,0,1,0,0,2,0,0,0,
dsgdb9nsd_000114,C2H3NO2,5,C1,2,0,0,0,1,0,0,2,0,0,0,
dsgdb9nsd_000115,C5H4,5,C3V,0,0,0,0,0,0,3,1,0,1,0,
dsgdb9nsd_000116,C4H3N,5,C1,0,0,0,1,0,0,3,0,0,1,0,
dsgdb9nsd_000117,C4H4O,5,C1,1,0,0,0,0,0,2,1,0,1,0,
dsgdb9nsd_000118,C4H6O,5,CS,0,1,0,0,0,0,2,0,1,1,0,
dsgdb9nsd_000119,C5H8,5,C1,0,0,0,0,0,0,2,0,1,2,0,
dsgdb9nsd_000120,C3H7NO,5,C1,0,0,1,1,0,0,0,1,0,2,0,
dsgdb9nsd_000121,C5H8,5,C1,0,0,0,0,0,0,1,1,2,1,0,
dsgdb9nsd_000122,C4H7N,5,C1,0,0,0,1,0,0,1,0,2,1,0,
dsgdb9nsd_000123,C3H6N2,5,C1,0,0,0,1,1,0,1,0,1,1,0,
dsgdb9nsd_000124,C4H6O,5,C1,0,0,1,0,0,0,1,1,1,1,0,
dsgdb9nsd_000125,C3H5NO,5,C1,0,0,1,1,0,0,1,0,1,1,0,
dsgdb9nsd_000126,C4H6O,5,C1,0,1,0,0,0,0,1,1,2,0,0,
dsgdb9nsd_000127,C3H5NO,5,C1,0,1,0,1,0,0,1,0,2,0,0,
dsgdb9nsd_000128,C4H8O,5,C1,1,0,0,0,0,0,0,1,2,1,0,
dsgdb9nsd_000129,C3H7NO,5,C1,1,0,0,0,1,0,0,1,1,1,0,
dsgdb9nsd_000130,C3H6O2,5,C1,1,0,1,0,0,0,0,1,1,1,0,
dsgdb9nsd_000131,C3H6O2,5,C1,1,0,1,0,0,0,0,1,1,1,0,
dsgdb9nsd_000132,C3H6O2,5,C1,1,1,0,0,0,0,0,1,2,0,0,
dsgdb9nsd_000133,C5H12,5,C1,0,0,0,0,0,0,0,0,3,2,0,
dsgdb9nsd_000134,C4H10O,5,C1,0,1,0,0,0,0,0,0,3,1,0,
dsgdb9nsd_000135,C4H10O,5,C1,0,0,1,0,0,0,0,0,2,2,0,
dsgdb9nsd_000136,C4H10O,5,C2,0,0,1,0,0,0,0,0,2,2,0,
dsgdb9nsd_000137,C3H8O2,5,C1,0,1,1,0,0,0,0,0,2,1,0,
dsgdb9nsd_000138,C3H8O2,5,C1,0,2,0,0,0,0,0,0,3,0,0,
dsgdb9nsd_000139,C5H6,5,C1,0,0,0,0,0,0,1,2,2,0,0,
dsgdb9nsd_000140,C4H5N,5,C1,0,0,0,0,1,0,1,2,1,0,0,
dsgdb9nsd_000141,C4H4O,5,C1,0,0,1,0,0,0,1,2,1,0,0,
dsgdb9nsd_000142,C4H5N,5,C1,0,0,0,1,0,0,1,1,2,0,0,
dsgdb9nsd_000143,C3H4N2,5,C1,0,0,0,1,1,0,1,1,1,0,0,
dsgdb9nsd_000144,C3H3NO,5,C1,0,0,1,1,0,0,1,1,1,0,0,
dsgdb9nsd_000146,C3H5NO,5,C1,1,0,0,0,1,0,0,2,1,0,0,
dsgdb9nsd_000147,C3H4O2,5,C1,1,0,1,0,0,0,0,2,1,0,0,
dsgdb9nsd_000148,C3H5NO,5,C1,1,0,0,1,0,0,0,1,2,0,0,
dsgdb9nsd_000149,C5H10,5,C1,0,0,0,0,0,0,0,1,3,1,0,
dsgdb9nsd_000151,C4H9N,5,C1,0,0,0,1,0,0,0,0,3,1,0,
dsgdb9nsd_000152,C4H8O,5,C1,0,0,1,0,0,0,0,1,2,1,0,
dsgdb9nsd_000153,C4H8O,5,C1,0,1,0,0,0,0,0,1,3,0,0,
dsgdb9nsd_000154,C3H7NO,5,C1,0,1,0,0,1,0,0,1,2,0,0,
dsgdb9nsd_000155,C3H6O2,5,C1,0,1,1,0,0,0,0,1,2,0,0,
dsgdb9nsd_000156,C5H8,5,CS,0,0,0,0,0,0,0,2,3,0,0,
dsgdb9nsd_000157,C3H5NO,5,CS,0,0,1,1,0,0,0,1,2,0,0,
dsgdb9nsd_000158,C4H6O,5,C2V,0,0,1,0,0,0,0,2,2,0,0,
dsgdb9nsd_000160,C4H8O,5,C1,0,0,1,0,0,0,0,0,4,0,0,
dsgdb9nsd_000161,C3H6O2,5,C1,0,0,2,0,0,0,0,0,3,0,0,
dsgdb9nsd_000162,C5H8,5,C1,0,0,0,0,0,0,0,2,3,0,0,
dsgdb9nsd_000163,C4H6O,5,C1,0,0,1,0,0,0,0,2,2,0,0,
dsgdb9nsd_000164,C4H6O,5,C1,0,0,1,0,0,0,0,2,2,0,0,
dsgdb9nsd_000165,C3H4N2,5,CS,0,0,0,1,1,0,0,3,0,0,0,
dsgdb9nsd_000166,C2H3N3,5,C1,0,0,0,2,1,0,0,2,0,0,0,
dsgdb9nsd_000167,C2H3N3,5,CS,0,0,0,2,1,0,0,2,0,0,0,
dsgdb9nsd_000168,C2H3N3,5,CS,0,0,0,2,1,0,0,2,0,0,0,
dsgdb9nsd_000169,C2H3N3,5,CS,0,0,0,2,1,0,0,2,0,0,0,
dsgdb9nsd_000170,C3H3NO,5,C1,0,0,0,1,0,0,0,3,0,0,0,
dsgdb9nsd_000171,C2H2N2O,5,CS,0,0,0,2,0,0,0,2,0,0,0,
dsgdb9nsd_000172,C2H2N2O,5,C1,0,0,0,2,0,0,0,2,0,0,0,
dsgdb9nsd_000173,C2H2N2O,5,C2V,0,0,1,2,0,0,0,2,0,0,0,
dsgdb9nsd_000174,CHN3O,5,C1,0,0,0,3,0,0,0,1,0,0,0,
dsgdb9nsd_000175,C2H2N2O,5,C2V,0,0,0,2,0,0,0,2,0,0,0,
dsgdb9nsd_000178,C4H5NO,6,C1,0,0,0,1,0,0,2,1,0,1,0,
dsgdb9nsd_000179,C3H7NO2,6,C1,0,1,0,1,0,0,1,0,1,1,0,
dsgdb9nsd_000180,C4H9NO,6,C1,0,0,0,1,0,0,1,0,1,2,0,
dsgdb9nsd_000182,C3H6N2O,6,C1,0,0,0,1,1,0,1,0,2,0,0,
dsgdb9nsd_000183,C3H5NO2,6,C1,0,0,1,1,0,0,1,0,2,0,0,
dsgdb9nsd_000184,CF4,5,TD,0,0,0,0,0,0,1,0,0,0,0,
dsgdb9nsd_000185,C3H4N2O,6,C1,0,0,1,0,2,0,1,2,0,0,0,
dsgdb9nsd_000186,C3H3NO2,6,CS,0,0,2,0,1,0,1,2,0,0,0,
dsgdb9nsd_000187,C3H4N2O,6,C1,1,0,0,0,2,0,1,2,0,0,0,
dsgdb9nsd_000188,C3H3NO2,6,C1,1,0,1,0,1,0,1,2,0,0,0,
dsgdb9nsd_000189,C3H2O3,6,C2V,1,0,2,0,0,0,1,2,0,0,0,
dsgdb9nsd_000190,C5H7N,6,C1,0,0,0,0,1,0,1,3,0,1,0,
dsgdb9nsd_000191,C5H6O,6,C1,0,0,1,0,0,0,1,3,0,1,0,
dsgdb9nsd_000192,C4H5NO,6,C1,0,0,1,1,0,0,1,2,0,1,0,
dsgdb9nsd_000193,C4H5NO,6,C1,0,0,1,1,0,0,1,2,0,1,0,
dsgdb9nsd_000194,C4H6N2,6,C1,0,0,0,0,1,1,1,3,0,0,0,
dsgdb9nsd_000195,C4H5NO,6,C1,0,0,1,0,0,1,1,3,0,0,0,
dsgdb9nsd_000196,C3H4N2O,6,C1,0,0,1,1,0,1,1,2,0,0,0,
dsgdb9nsd_000197,C3H4N2O,6,C1,0,0,1,1,0,1,1,2,0,0,0,
dsgdb9nsd_000198,C4H5NO,6,C1,0,1,0,0,1,0,1,3,0,0,0,
dsgdb9nsd_000199,C3H4N2O,6,C1,0,1,0,1,1,0,1,2,0,0,0,
dsgdb9nsd_000200,C3H4N2O,6,C1,0,1,0,1,1,0,1,2,0,0,0,
dsgdb9nsd_000201,C5H7N,6,C1,0,0,0,0,1,0,1,3,0,1,0,
dsgdb9nsd_000202,C4H6N2,6,CS,0,0,0,1,1,0,1,2,0,1,0,
dsgdb9nsd_000203,C5H6O,6,C1,0,0,1,0,0,0,1,3,0,1,0,
dsgdb9nsd_000204,C4H5NO,6,C1,0,0,1,1,0,0,1,2,0,1,0,
dsgdb9nsd_000205,C4H6N2,6,C1,0,0,0,0,1,1,1,3,0,0,0,
dsgdb9nsd_000206,C3H5N3,6,C1,0,0,0,1,1,1,1,2,0,0,0,
dsgdb9nsd_000207,C4H5NO,6,C1,0,0,1,0,0,1,1,3,0,0,0,
dsgdb9nsd_000208,C3H4N2O,6,C1,0,0,1,1,0,1,1,2,0,0,0,
dsgdb9nsd_000209,C4H5NO,6,C1,0,1,0,0,1,0,1,3,0,0,0,
dsgdb9nsd_000210,C3H4N2O,6,C1,0,1,0,1,1,0,1,2,0,0,0,
dsgdb9nsd_000211,C3H3NO2,6,C1,0,1,1,1,0,0,1,2,0,0,0,
dsgdb9nsd_000213,C4H6N2,6,C1,0,0,0,2,0,0,0,3,0,1,0,
dsgdb9nsd_000214,C6H6,6,D6H,0,0,0,0,0,0,0,6,0,0,0,
dsgdb9nsd_000215,C5H5N,6,C2V,0,0,0,1,0,0,0,5,0,0,0,
dsgdb9nsd_000216,C4H4N2,6,D2H,0,0,0,2,0,0,0,4,0,0,0,
dsgdb9nsd_000217,C4H4N2,6,C2V,0,0,0,2,0,0,0,4,0,0,0,
dsgdb9nsd_000218,C3H3N3,6,D3H,0,0,0,3,0,0,0,3,0,0,0,
dsgdb9nsd_000219,C6H10,6,C1,0,0,0,0,0,0,2,1,0,3,0,
dsgdb9nsd_000220,C5H9N,6,C1,0,0,0,1,0,0,2,0,0,3,0,
dsgdb9nsd_000221,C4H8N2,6,C1,0,0,0,1,0,1,2,0,0,2,0,
dsgdb9nsd_000222,C5H8O,6,C1,0,1,0,0,0,0,2,1,0,2,0,
dsgdb9nsd_000223,C4H7NO,6,C1,0,1,0,1,0,0,2,0,0,2,0,
dsgdb9nsd_000224,C5H10O,6,C1,1,0,0,0,0,0,1,1,0,3,0,
dsgdb9nsd_000225,C4H8O2,6,C1,1,1,0,0,0,0,1,1,0,2,0,
dsgdb9nsd_000226,C5H12O,6,C1,0,1,0,0,0,0,1,0,1,3,0,
dsgdb9nsd_000227,C4H10O2,6,C1,0,2,0,0,0,0,1,0,1,2,0,
dsgdb9nsd_000228,C6H14,6,C1,0,0,0,0,0,0,1,0,1,4,0,
dsgdb9nsd_000229,C5H12O,6,C1,0,1,0,0,0,0,1,0,1,3,0,
dsgdb9nsd_000230,C5H12O,6,C1,0,0,1,0,0,0,1,0,0,4,0,
dsgdb9nsd_000231,C5H6O,6,C1,1,0,0,0,0,0,3,0,0,2,0,
dsgdb9nsd_000232,C4H5NO,6,C1,1,0,0,0,0,1,3,0,0,1,0,
dsgdb9nsd_000233,C6H10,6,C1,0,0,0,0,0,0,2,1,0,3,0,
dsgdb9nsd_000234,C5H8O,6,C1,0,1,0,0,0,0,2,1,0,2,0,
dsgdb9nsd_000235,C5H6O,6,C1,1,0,0,0,0,0,2,1,1,1,0,
dsgdb9nsd_000236,C4H5NO,6,C1,1,0,0,1,0,0,2,0,1,1,0,
dsgdb9nsd_000237,C4H5NO,6,C1,1,0,0,0,0,1,2,1,1,0,0,
dsgdb9nsd_000238,C3H4N2O,6,C1,1,0,0,1,0,1,2,0,1,0,0,
dsgdb9nsd_000239,C3H6N2O,6,C1,1,0,0,0,2,0,1,1,0,1,0,
dsgdb9nsd_000240,C3H5NO2,6,C1,1,0,1,0,1,0,1,1,0,1,0,
dsgdb9nsd_000241,C4H6O2,6,C1,2,0,0,0,0,0,1,1,1,1,0,
dsgdb9nsd_000242,C3H6N2O,6,C1,1,0,0,0,2,0,1,1,0,1,0,
dsgdb9nsd_000243,C3H5NO2,6,C1,2,0,0,0,1,0,1,1,0,1,0,
dsgdb9nsd_000244,C3H5NO2,6,C1,1,0,1,0,1,0,1,1,0,1,0,
dsgdb9nsd_000245,C2H5N3O,6,C1,1,0,0,0,2,1,1,1,0,0,0,
dsgdb9nsd_000246,C3H5NO2,6,C1,2,0,0,0,0,1,1,1,1,0,0,
dsgdb9nsd_000247,C2H5N3O,6,C1,1,0,0,0,2,1,1,1,0,0,0,
dsgdb9nsd_000248,C2H4N2O2,6,C1,2,0,0,0,1,1,1,1,0,0,0,
dsgdb9nsd_000249,C2H4N2O2,6,C1,1,0,1,0,1,1,1,1,0,0,0,
dsgdb9nsd_000250,C6H10,6,C1,0,0,0,0,0,0,1,2,1,2,0,
dsgdb9nsd_000251,C5H9N,6,C1,0,0,0,1,0,0,1,1,1,2,0,
dsgdb9nsd_000252,C5H8O,6,C1,0,1,0,0,0,0,1,2,1,1,0,
dsgdb9nsd_000253,C4H7NO,6,C1,0,1,0,1,0,0,1,1,1,1,0,
dsgdb9nsd_000254,C4H8N2,6,C1,0,0,0,2,0,0,1,0,1,2,0,
dsgdb9nsd_000255,C5H10O,6,C1,1,0,0,0,0,0,0,2,1,2,0,
dsgdb9nsd_000256,C4H9NO,6,C1,1,0,0,0,1,0,0,2,0,2,0,
dsgdb9nsd_000257,C4H8O2,6,C1,1,0,1,0,0,0,0,2,0,2,0,
dsgdb9nsd_000258,C4H8O2,6,C1,1,1,0,0,0,0,0,2,1,1,0,
dsgdb9nsd_000259,C4H9NO,6,C1,1,0,0,1,0,0,0,1,1,2,0,
dsgdb9nsd_000260,C4H8O2,6,C1,1,1,0,0,0,0,1,0,2,1,0,
dsgdb9nsd_000261,C5H10O,6,C1,1,0,0,0,0,0,1,0,2,2,0,
dsgdb9nsd_000262,C4H9NO,6,C1,1,0,0,0,0,1,1,0,2,1,0,
dsgdb9nsd_000263,C4H9NO,6,C1,1,0,0,0,1,0,1,0,1,2,0,
dsgdb9nsd_000264,C3H8N2O,6,C1,1,0,0,0,1,1,1,0,1,1,0,
dsgdb9nsd_000265,C4H8O2,6,C1,1,0,1,0,0,0,1,0,1,2,0,
dsgdb9nsd_000266,C3H7NO2,6,C1,1,0,1,0,0,1,1,0,1,1,0,
dsgdb9nsd_000267,C3H7NO2,6,C1,1,1,0,0,1,0,1,0,1,1,0,
dsgdb9nsd_000268,C4H8O2,6,C1,1,0,1,0,0,0,1,0,1,2,0,
dsgdb9nsd_000269,C3H7NO2,6,C1,1,0,1,0,0,1,1,0,1,1,0,
dsgdb9nsd_000270,C3H7NO2,6,C1,1,1,0,0,0,1,1,0,2,0,0,
dsgdb9nsd_000271,C3H7NO2,6,C1,2,0,0,0,0,0,1,0,2,0,0,
dsgdb9nsd_000272,C5H12O,6,C1,0,1,0,0,0,0,0,1,2,2,0,
dsgdb9nsd_000273,C4H10O2,6,C1,0,2,0,0,0,0,0,1,2,1,0,
dsgdb9nsd_000274,C6H14,6,C1,0,0,0,0,0,0,0,1,2,3,0,
dsgdb9nsd_000275,C5H12O,6,C1,0,1,0,0,0,0,0,1,2,2,0,
dsgdb9nsd_000276,C5H12O,6,C1,0,0,1,0,0,0,0,1,1,3,0,
dsgdb9nsd_000277,C5H12O,6,C1,0,0,1,0,0,0,0,1,1,3,0,
dsgdb9nsd_000278,C4H10O2,6,C1,0,1,1,0,0,0,0,1,1,2,0,
dsgdb9nsd_000279,C4H6O2,6,C2,2,0,0,0,0,0,2,0,0,2,0,
dsgdb9nsd_000280,C3H6N2O,6,C1,1,0,0,0,1,1,2,0,0,1,0,
dsgdb9nsd_000281,C3H5NO2,6,C1,2,0,0,0,0,1,2,0,0,1,0,
dsgdb9nsd_000282,C2H4N2O2,6,C1,2,0,0,0,0,2,2,0,0,0,0,
dsgdb9nsd_000283,C2H4N2O2,6,C2,2,0,0,0,0,2,2,0,0,0,0,
dsgdb9nsd_000284,C5H10O,6,C1,1,0,0,0,0,0,1,1,0,3,0,
dsgdb9nsd_000285,C4H9NO,6,C1,1,0,0,0,0,1,1,1,0,2,0,
dsgdb9nsd_000286,C3H7NO2,6,C1,1,1,0,0,0,1,1,1,0,1,0,
dsgdb9nsd_000287,C4H8O2,6,C1,1,1,0,0,0,0,1,1,0,2,0,
dsgdb9nsd_000288,C3H7NO2,6,C1,1,1,0,0,0,1,1,1,0,1,0,
dsgdb9nsd_000289,C4H9NO,6,C1,1,0,0,1,0,0,1,0,0,3,0,
dsgdb9nsd_000290,C3H8N2O,6,C1,1,0,0,1,0,1,1,0,0,2,0,
dsgdb9nsd_000291,C6H14,6,C2,0,0,0,0,0,0,0,2,0,4,0,
dsgdb9nsd_000292,C5H12O,6,C1,0,1,0,0,0,0,0,2,0,3,0,
dsgdb9nsd_000293,C4H10O2,6,C1,0,2,0,0,0,0,0,2,0,2,0,
dsgdb9nsd_000294,C6H12,6,CS,0,0,0,0,0,0,1,0,3,2,0,
dsgdb9nsd_000295,C5H10O,6,C1,0,0,1,0,0,0,1,0,2,2,0,
dsgdb9nsd_000296,C5H10O,6,CS,0,0,1,0,0,0,1,0,2,2,0,
dsgdb9nsd_000297,C5H10O,6,C1,0,1,0,0,0,0,1,0,3,1,0,
dsgdb9nsd_000298,C4H8O2,6,C1,0,1,1,0,0,0,1,0,2,1,0,
dsgdb9nsd_000299,C5H10O,6,C1,0,1,0,0,0,0,1,1,1,2,0,
dsgdb9nsd_000300,C4H8O2,6,C1,0,2,0,0,0,0,1,1,1,1,0,
dsgdb9nsd_000301,C6H12,6,C1,0,0,0,0,0,0,1,1,1,3,0,
dsgdb9nsd_000302,C5H10O,6,C1,0,1,0,0,0,0,1,1,1,2,0,
dsgdb9nsd_000303,C5H10O,6,C1,0,0,1,0,0,0,1,1,0,3,0,
dsgdb9nsd_000304,C5H11N,6,C1,0,0,0,1,0,0,1,0,1,3,0,
dsgdb9nsd_000306,C5H8O,6,CS,1,0,0,0,0,0,1,1,2,1,0,
dsgdb9nsd_000307,C4H7NO,6,C1,1,0,0,0,1,0,1,1,1,1,0,
dsgdb9nsd_000308,C4H6O2,6,C1,1,0,1,0,0,0,1,1,1,1,0,
dsgdb9nsd_000309,C4H7NO,6,CS,1,0,0,1,0,0,1,0,2,1,0,
dsgdb9nsd_000310,C4H6O2,6,C1,1,1,0,0,0,0,1,1,2,0,0,
dsgdb9nsd_000311,C6H12,6,C2V,0,0,0,0,0,0,0,2,2,2,0,
dsgdb9nsd_000312,C5H10O,6,CS,0,0,1,0,0,0,0,2,1,2,0,
dsgdb9nsd_000313,C5H10O,6,C1,0,1,0,0,0,0,0,2,2,1,0,
dsgdb9nsd_000314,C4H9NO,6,CS,0,1,0,1,0,0,0,1,2,1,0,
dsgdb9nsd_000315,C4H8O2,6,C2,0,2,0,0,0,0,0,2,2,0,0,
dsgdb9nsd_000316,C6H10,6,C1,0,0,0,0,0,0,1,1,3,1,0,
dsgdb9nsd_000317,C5H8O,6,CS,0,0,1,0,0,0,1,1,2,1,0,
dsgdb9nsd_000318,C5H9N,6,C1,0,0,0,1,0,0,1,0,3,1,0,
